BirthRate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,LifeExpectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,InfantMortalityRate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.00%,,87931,Below Threshold,"$1,727 ",1.5-3%,69,Low,Algeria,,,26998,$0 ,$55B,3.50%,$60 ,,3.40%,1%,0.1,71,67,0%,1,34%,62%,0.039,31.7M,59.90%,Africa,$0B,$0B,12/1/2000
5.00%,,9542,Below Threshold,$656 ,Above 3%,46,Low,Angola,,,7499,$0 ,$9B,3.40%,$22 ,,12.80%,0%,1.032,47,44,0%,1,48%,50%,0.025,13.9M,32.40%,Africa,$0B,$0B,12/1/2000
4.30%,,1617,Below Threshold,$339 ,Above 3%,55,Low,Benin,,,1983,$0 ,$2B,4.30%,$15 ,,9.00%,0%,,57,53,1%,1,45%,52%,0.029,6.9M,38.30%,Africa,$0B,$0B,12/1/2000
2.70%,,4276,Below Threshold,"$3,297 ",1.5-3%,51,Friendly,Botswana,,,1836,$0 ,$6B,4.70%,$152 ,,5.40%,3%,0.155,52,49,13%,1,38%,59%,0.029,1.8M,53.20%,Africa,$0B,$0B,12/1/2000
4.60%,,1041,Below Threshold,$225 ,Above 3%,51,Low,Burkina Faso,,,,$0 ,$3B,5.10%,$12 ,,9.60%,0%,,52,49,0%,1,47%,51%,0.028,11.6M,17.80%,Africa,$0B,$0B,12/1/2000
4.20%,,301,Below Threshold,$130 ,Above 3%,48,Low,Burundi,,,,$0 ,$1B,6.30%,$7 ,,9.20%,0%,0.158,49,47,0%,1,49%,48%,0.029,6.7M,8.20%,Africa,$0B,$0B,12/1/2000
4.10%,,3432,Below Threshold,$583 ,Above 3%,52,Low,Cameroon,,,6310,$0 ,$9B,4.40%,$26 ,,9.30%,0%,0.22,53,51,1%,1,45%,51%,0.034,15.9M,45.50%,Africa,$0B,$0B,12/1/2000
3.90%,,268,Below Threshold,$251 ,Above 3%,44,Low,Central African Republic,,,,$0 ,$1B,4.30%,$11 ,,11.30%,0%,0.22,45,42,0%,1,42%,54%,0.04,3.6M,37.60%,Africa,$0B,$0B,12/1/2000
5.10%,,176,Below Threshold,$167 ,Above 3%,47,Low,Chad,,,,$0 ,$1B,6.30%,$10 ,,10.60%,0%,0.22,48,46,0%,1,49%,48%,0.028,8.3M,21.60%,Africa,$0B,$0B,12/1/2000
3.90%,,84,Below Threshold,$382 ,Above 3%,58,Low,Comoros,,,,$0 ,$0B,3.50%,$13 ,,7.30%,0%,0.12,59,56,,1,42%,55%,0.031,0.5M,28.10%,Africa,$0B,,12/1/2000
4.80%,,1646,Below Threshold,$407 ,Above 3%,47,Low,"Congo, Dem. Rep.",,,16679,$0 ,$19B,4.80%,$14 ,,11.50%,0%,,48,45,0%,1,46%,51%,0.028,46.9M,35.10%,Africa,,,12/1/2000
3.90%,,1049,Below Threshold,"$1,030 ",Above 3%,52,Low,"Congo, Rep.",,,814,$0 ,$3B,2.10%,$22 ,,7.70%,0%,0.22,53,51,2%,1,42%,55%,0.036,3.1M,58.70%,Africa,$0B,$0B,12/1/2000
3.80%,,6791,Below Threshold,$646 ,Above 3%,47,Low,Cote d'Ivoire,,,6734,$0 ,$10B,6.50%,$42 ,,10.00%,0%,,47,46,3%,1,42%,55%,0.029,16.1M,43.50%,Africa,$0B,$0B,12/1/2000
3.00%,,403,Below Threshold,$763 ,Above 3%,57,Low,Djibouti,,,,$0 ,$1B,5.80%,$44 ,,8.00%,0%,,59,55,0%,1,41%,56%,0.03,0.7M,76.50%,Africa,$0B,$0B,12/1/2000
2.50%,,141326,Below Threshold,"$1,510 ",1.5-3%,69,Moderate,"Egypt, Arab Rep.",,,40658,$0 ,$100B,5.40%,$79 ,,3.60%,1%,0.132,71,66,2%,1,35%,59%,0.053,66.1M,42.80%,Africa,$5B,$1B,12/1/2000
4.00%,,455,Below Threshold,"$2,019 ",Above 3%,48,Low,Equatorial Guinea,,,,$0 ,$1B,2.40%,$57 ,,9.90%,0%,0.22,49,46,1%,1,43%,54%,0.037,0.5M,38.80%,Africa,$0B,$0B,12/1/2000
4.00%,,609,Below Threshold,$179 ,Above 3%,56,Low,Eritrea,,,708,$0 ,$1B,4.50%,$7 ,,5.80%,0%,,58,54,,1,47%,51%,0.018,3.9M,17.60%,Africa,$0B,,12/1/2000
4.40%,,5831,Below Threshold,$123 ,Above 3%,52,Moderate,Ethiopia,,,25242,$0 ,$8B,4.30%,$5 ,,9.00%,0%,0.109,53,51,0%,1,47%,50%,0.031,66.0M,14.70%,Africa,$0B,$0B,12/1/2000
3.40%,,1052,Below Threshold,"$4,135 ",Above 3%,60,Low,Gabon,,,1463,$0 ,$5B,2.90%,$118 ,,5.60%,1%,0.22,61,59,10%,1,41%,54%,0.059,1.2M,80.10%,Africa,$0B,$0B,12/1/2000
4.50%,,275,Below Threshold,$637 ,Above 3%,55,Low,"Gambia, The",,,,$0 ,$1B,4.50%,$29 ,,6.30%,1%,0.24,56,54,1%,1,46%,51%,0.027,1.2M,47.90%,Africa,,,12/1/2000
3.50%,,6289,Below Threshold,$265 ,Above 3%,57,Friendly,Ghana,,,7736,$0 ,$5B,4.80%,$13 ,,6.50%,0%,,58,56,1%,1,41%,56%,0.03,18.8M,43.90%,Africa,$0B,$0B,12/1/2000
4.20%,,1280,Below Threshold,$342 ,Above 3%,51,Low,Guinea,,,,$0 ,$3B,5.60%,$19 ,,10.30%,0%,0.194,51,51,1%,1,44%,53%,0.034,8.7M,31.00%,Africa,$0B,$0B,12/1/2000
4.20%,,147,Below Threshold,$284 ,Above 3%,52,Low,Guinea-Bissau,,,,$0 ,$0B,4.90%,$16 ,,10.90%,0%,,53,50,,1,44%,53%,0.031,1.3M,36.70%,Africa,,,12/1/2000
3.90%,,10418,Below Threshold,$406 ,Above 3%,53,Moderate,Kenya,,,14055,$0 ,$13B,4.70%,$19 ,,6.90%,0%,0.223,54,52,0%,1,44%,53%,0.028,31.3M,19.90%,Africa,$1B,$0B,12/1/2000
3.10%,,,Below Threshold,$415 ,Above 3%,48,Moderate,Lesotho,,,,$0 ,$1B,6.90%,$29 ,,8.10%,0%,0.171,48,47,1%,1,41%,54%,0.045,1.9M,19.50%,Africa,$0B,$0B,12/1/2000
4.30%,,436,Below Threshold,$183 ,Above 3%,53,Low,Liberia,,,,$0 ,$1B,5.90%,$11 ,,11.90%,0%,0.205,53,52,0%,1,43%,54%,0.031,2.9M,44.30%,Africa,,,12/1/2000
2.20%,,47114,Below Threshold,"$6,549 ",1.5-3%,72,Low,Libya,,,15901,"$4,688 ",$34B,3.40%,$252 ,,2.40%,0%,0.07,74,70,1%,1,33%,63%,0.039,5.2M,76.30%,Africa,$0B,$0B,12/1/2000
4.10%,,1874,Below Threshold,$246 ,Above 3%,59,Moderate,Madagascar,,,,$0 ,$4B,5.00%,$12 ,,7.10%,0%,0.265,60,57,0%,1,46%,52%,0.03,15.7M,27.10%,Africa,$0B,$0B,12/1/2000
4.50%,,906,Below Threshold,$154 ,Above 3%,46,Low,Malawi,,,,$0 ,$2B,6.10%,$9 ,,10.30%,0%,0.531,46,46,0%,1,46%,51%,0.031,11.3M,14.60%,Africa,$0B,$0B,12/1/2000
4.80%,,543,Below Threshold,$236 ,Above 3%,49,Low,Mali,,,,$0 ,$2B,6.30%,$16 ,,11.60%,0%,,49,49,0%,1,46%,50%,0.035,10.3M,28.40%,Africa,$0B,$0B,12/1/2000
3.80%,,1236,Below Threshold,$478 ,Above 3%,60,Low,Mauritania,,,,$0 ,$1B,6.00%,$24 ,,7.60%,0%,0.256,61,58,1%,1,43%,54%,0.032,2.7M,49.20%,Africa,,,12/1/2000
